,IP_B,confidence,IP_A
"('14134_134',)","('192.168.220.51',)",1.0,"('14134_134',)"
"('14160_50',)","('192.168.210.54',)",1.0,"('14160_50',)"
"('13521_98',)","('192.168.220.51',)",1.0,"('13521_98',)"
"('14310_249',)","('192.168.220.49',)",1.0,"('14310_249',)"
"('10661_100',)","('192.168.220.51',)",1.0,"('10661_100',)"
"('14419_240',)","('192.168.220.51',)",1.0,"('14419_240',)"
"('11375_16',)","('192.168.210.45',)",1.0,"('11375_16',)"
"('10088_96',)","('192.168.220.49',)",1.0,"('10088_96',)"
"('10938_60',)","('192.168.210.45',)",1.0,"('10938_60',)"
"('11011_95',)","('192.168.220.47',)",1.0,"('11011_95',)"
"('14462_35',)","('192.168.220.51',)",1.0,"('14462_35',)"
"('10088_233',)","('192.168.220.46',)",1.0,"('10088_233',)"
"('11831_219',)","('192.168.220.51',)",1.0,"('11831_219',)"
"('10016_181',)","('192.168.210.56',)",1.0,"('10016_181',)"
"('10021_65',)","('192.168.210.56',)",1.0,"('10021_65',)"
"('10582_165',)","('192.168.210.49',)",1.0,"('10582_165',)"
"('13846_181',)","('192.168.220.49',)",1.0,"('13846_181',)"
"('12822_60',)","('192.168.210.47',)",1.0,"('12822_60',)"
"('14553_140',)","('192.168.210.56',)",1.0,"('14553_140',)"
"('11697_156',)","('192.168.220.42',)",1.0,"('11697_156',)"
"('14587_35',)","('192.168.220.43',)",1.0,"('14587_35',)"
"('12350_210',)","('192.168.210.48',)",1.0,"('12350_210',)"
"('11806_232',)","('192.168.220.51',)",1.0,"('11806_232',)"
"('11812_144',)","('192.168.220.51',)",1.0,"('11812_144',)"
"('11821_34',)","('192.168.220.51',)",1.0,"('11821_34',)"
"('11441_240',)","('192.168.210.57',)",1.0,"('11441_240',)"
"('11888_70',)","('192.168.220.47',)",1.0,"('11888_70',)"
"('11389_208',)","('192.168.210.56',)",1.0,"('11389_208',)"
"('11305_59',)","('192.168.210.56',)",1.0,"('11305_59',)"
"('12473_100',)","('192.168.210.55',)",1.0,"('12473_100',)"
"('12612_47',)","('192.168.220.48',)",1.0,"('12612_47',)"
"('10236_83',)","('192.168.210.55',)",1.0,"('10236_83',)"
"('13647_6',)","('192.168.220.51',)",1.0,"('13647_6',)"
"('11839_107',)","('192.168.220.51',)",1.0,"('11839_107',)"
"('10022_217',)","('192.168.220.51',)",1.0,"('10022_217',)"
"('11010_225',)","('192.168.220.44',)",1.0,"('11010_225',)"
"('14421_36',)","('192.168.220.51',)",0.8709677419354839,"('14421_36',)"
"('14554_123',)","('192.168.210.56',)",1.0,"('14554_123',)"
"('10029_19',)","('192.168.210.54',)",1.0,"('10029_19',)"
"('10240_166',)","('192.168.220.46',)",1.0,"('10240_166',)"
"('10512_36',)","('192.168.220.47',)",1.0,"('10512_36',)"
"('10996_41',)","('192.168.220.47',)",1.0,"('10996_41',)"
"('10045_192',)","('192.168.210.52',)",0.9375,"('10045_192',)"
"('10088_33',)","('192.168.220.47',)",1.0,"('10088_33',)"
"('11737_96',)","('192.168.210.46',)",0.875,"('11737_96',)"
"('11781_171',)","('192.168.220.47',)",1.0,"('11781_171',)"
"('10022_238',)","('192.168.220.47',)",0.8125,"('10022_238',)"
"('11837_219',)","('192.168.210.55',)",1.0,"('11837_219',)"
"('11869_35',)","('192.168.210.55',)",1.0,"('11869_35',)"
"('10299_84',)","('192.168.220.47',)",1.0,"('10299_84',)"
"('11959_75',)","('192.168.220.51',)",1.0,"('11959_75',)"
"('11986_78',)","('192.168.220.51',)",1.0,"('11986_78',)"
"('10694_3',)","('192.168.220.51',)",0.875,"('10694_3',)"
"('12175_80',)","('192.168.220.51',)",1.0,"('12175_80',)"
"('12176_104',)","('192.168.220.51',)",1.0,"('12176_104',)"
"('12262_37',)","('192.168.220.51',)",1.0,"('12262_37',)"
"('10310_123',)","('192.168.220.51',)",1.0,"('10310_123',)"
"('10416_84',)","('192.168.220.51',)",1.0,"('10416_84',)"
"('11859_43',)","('192.168.210.55',)",1.0,"('11859_43',)"
"('11593_232',)","('192.168.220.42',)",1.0,"('11593_232',)"
"('12630_33',)","('192.168.220.48',)",0.75,"('12630_33',)"
"('11167_43',)","('192.168.220.47',)",1.0,"('11167_43',)"
"('12720_6',)","('192.168.220.47',)",1.0,"('12720_6',)"
"('12800_28',)","('192.168.220.51',)",1.0,"('12800_28',)"
"('12191_51',)","('192.168.220.51',)",1.0,"('12191_51',)"
"('10088_63',)","('192.168.220.47',)",1.0,"('10088_63',)"
"('12867_96',)","('192.168.210.47',)",1.0,"('12867_96',)"
"('12441_74',)","('192.168.210.54',)",1.0,"('12441_74',)"
"('13252_162',)","('192.168.210.47',)",1.0,"('13252_162',)"
"('10694_58',)","('192.168.220.47',)",1.0,"('10694_58',)"
"('13306_173',)","('192.168.210.45',)",1.0,"('13306_173',)"
"('10963_26',)","('192.168.210.45',)",1.0,"('10963_26',)"
"('10423_198',)","('192.168.220.47',)",0.8125,"('10423_198',)"
"('13303_61',)","('192.168.220.47',)",1.0,"('13303_61',)"
"('10099_185',)","('192.168.210.52',)",1.0,"('10099_185',)"
"('13489_161',)","('192.168.220.50',)",1.0,"('13489_161',)"
"('13603_6',)","('192.168.220.47',)",1.0,"('13603_6',)"
"('11443_27',)","('192.168.210.46',)",1.0,"('11443_27',)"
"('13625_37',)","('192.168.220.51',)",1.0,"('13625_37',)"
"('13644_99',)","('192.168.220.51',)",1.0,"('13644_99',)"
"('11619_237',)","('192.168.220.48',)",1.0,"('11619_237',)"
"('13696_180',)","('192.168.210.48',)",1.0,"('13696_180',)"
"('13725_206',)","('192.168.210.54',)",1.0,"('13725_206',)"
"('10030_161',)","('192.168.220.42',)",1.0,"('10030_161',)"
"('12741_217',)","('192.168.220.48',)",1.0,"('12741_217',)"
"('10299_67',)","('192.168.210.46',)",1.0,"('10299_67',)"
"('13904_202',)","('192.168.220.45',)",1.0,"('13904_202',)"
"('13905_64',)","('192.168.220.45',)",1.0,"('13905_64',)"
"('10008_82',)","('192.168.210.54',)",1.0,"('10008_82',)"
"('13976_152',)","('192.168.220.45',)",1.0,"('13976_152',)"
"('14091_238',)","('192.168.210.47',)",1.0,"('14091_238',)"
"('12497_14',)","('192.168.220.51',)",1.0,"('12497_14',)"
"('14209_125',)","('192.168.220.51',)",1.0,"('14209_125',)"
"('13291_29',)","('192.168.220.51',)",1.0,"('13291_29',)"
"('14270_53',)","('192.168.220.49',)",1.0,"('14270_53',)"
"('14278_251',)","('192.168.220.51',)",1.0,"('14278_251',)"
"('13769_121',)","('192.168.220.51',)",1.0,"('13769_121',)"
"('10416_108',)","('192.168.220.51',)",1.0,"('10416_108',)"
"('13554_35',)","('192.168.220.51',)",1.0,"('13554_35',)"
"('14384_19',)","('192.168.210.49',)",1.0,"('14384_19',)"
"('11649_117',)","('192.168.220.43',)",1.0,"('11649_117',)"
"('14387_72',)","('192.168.220.45',)",1.0,"('14387_72',)"
"('14411_9',)","('192.168.220.51',)",0.8125,"('14411_9',)"
"('14474_51',)","('192.168.210.53',)",1.0,"('14474_51',)"
"('10545_165',)","('192.168.210.49',)",1.0,"('10545_165',)"
"('14502_13',)","('192.168.210.49',)",1.0,"('14502_13',)"
"('13203_213',)","('192.168.210.56',)",1.0,"('13203_213',)"
"('12436_38',)","('192.168.210.53',)",1.0,"('12436_38',)"
"('10694_11',)","('192.168.220.45',)",1.0,"('10694_11',)"
"('13675_129',)","('192.168.220.51',)",1.0,"('13675_129',)"
"('14197_95',)","('192.168.220.51',)",1.0,"('14197_95',)"
"('14350_218',)","('192.168.220.47',)",1.0,"('14350_218',)"
"('10088_148',)","('192.168.210.50',)",0.8823529411764706,"('10088_148',)"
"('10088_149',)","('192.168.220.42',)",1.0,"('10088_149',)"
"('11224_45',)","('192.168.210.46',)",0.8235294117647058,"('11224_45',)"
"('11374_47',)","('192.168.220.49',)",1.0,"('11374_47',)"
"('10302_129',)","('192.168.220.47',)",1.0,"('10302_129',)"
"('10696_43',)","('192.168.220.42',)",1.0,"('10696_43',)"
"('11547_189',)","('192.168.220.47',)",1.0,"('11547_189',)"
"('10088_115',)","('192.168.220.49',)",0.8823529411764706,"('10088_115',)"
"('11704_145',)","('192.168.220.46',)",1.0,"('11704_145',)"
"('10299_121',)","('192.168.210.55',)",1.0,"('10299_121',)"
"('11883_2',)","('192.168.220.45',)",1.0,"('11883_2',)"
"('10003_170',)","('192.168.220.47',)",1.0,"('10003_170',)"
"('12125_83',)","('192.168.220.42',)",0.7647058823529411,"('12125_83',)"
"('12393_60',)","('192.168.220.43',)",1.0,"('12393_60',)"
"('12978_27',)","('192.168.220.45',)",0.7352941176470589,"('12978_27',)"
"('13338_52',)","('192.168.220.47',)",1.0,"('13338_52',)"
"('13435_76',)","('192.168.220.51',)",1.0,"('13435_76',)"
"('13439_252',)","('192.168.210.55',)",1.0,"('13439_252',)"
"('13122_80',)","('192.168.220.47',)",1.0,"('13122_80',)"
"('10327_50',)","('192.168.220.45',)",1.0,"('10327_50',)"
"('10058_198',)","('192.168.210.48',)",0.7058823529411765,"('10058_198',)"
"('13869_49',)","('192.168.220.47',)",1.0,"('13869_49',)"
"('12779_125',)","('192.168.220.51',)",1.0,"('12779_125',)"
"('13875_92',)","('192.168.220.51',)",1.0,"('13875_92',)"
"('13877_169',)","('192.168.210.54',)",1.0,"('13877_169',)"
"('10373_44',)","('192.168.210.52',)",1.0,"('10373_44',)"
"('13988_187',)","('192.168.220.48',)",1.0,"('13988_187',)"
"('14017_120',)","('192.168.220.51',)",0.8235294117647058,"('14017_120',)"
"('14023_131',)","('192.168.220.50',)",1.0,"('14023_131',)"
"('10012_131',)","('192.168.220.50',)",1.0,"('10012_131',)"
"('14142_45',)","('192.168.220.51',)",1.0,"('14142_45',)"
"('10764_59',)","('192.168.220.45',)",1.0,"('10764_59',)"
"('13774_115',)","('192.168.220.51',)",0.7647058823529411,"('13774_115',)"
"('14053_20',)","('192.168.220.51',)",0.7647058823529411,"('14053_20',)"
"('14429_174',)","('192.168.220.46',)",1.0,"('14429_174',)"
"('14472_78',)","('192.168.220.46',)",1.0,"('14472_78',)"
"('14595_214',)","('192.168.220.47',)",1.0,"('14595_214',)"
"('14603_154',)","('192.168.210.45',)",1.0,"('14603_154',)"
"('11357_233',)","('192.168.220.45',)",1.0,"('11357_233',)"
"('10987_235',)","('192.168.220.46',)",1.0,"('10987_235',)"
"('10328_181',)","('192.168.220.51',)",0.8285714285714286,"('10328_181',)"
"('12035_85',)","('192.168.220.47',)",1.0,"('12035_85',)"
"('11340_99',)","('192.168.220.47',)",1.0,"('11340_99',)"
"('12103_156',)","('192.168.220.51',)",0.6571428571428571,"('12103_156',)"
"('12273_12',)","('192.168.220.51',)",1.0,"('12273_12',)"
"('12454_24',)","('192.168.220.47',)",0.7428571428571429,"('12454_24',)"
"('10501_79',)","('192.168.220.43',)",1.0,"('10501_79',)"
"('13896_242',)","('192.168.210.47',)",0.8285714285714286,"('13896_242',)"
"('13999_215',)","('192.168.220.43',)",1.0,"('13999_215',)"
"('14024_180',)","('192.168.210.47',)",1.0,"('14024_180',)"
"('14329_99',)","('192.168.210.49',)",0.7142857142857143,"('14329_99',)"
"('10088_46',)","('192.168.220.47',)",1.0,"('10088_46',)"
"('11227_228',)","('192.168.210.56',)",1.0,"('11227_228',)"
"('11776_77',)","('192.168.220.50',)",1.0,"('11776_77',)"
"('11802_75',)","('192.168.220.47',)",1.0,"('11802_75',)"
"('11853_35',)","('192.168.220.49',)",1.0,"('11853_35',)"
"('10392_35',)","('192.168.220.47',)",1.0,"('10392_35',)"
"('12034_28',)","('192.168.220.47',)",1.0,"('12034_28',)"
"('10320_170',)","('192.168.220.42',)",1.0,"('10320_170',)"
"('12421_98',)","('192.168.210.53',)",1.0,"('12421_98',)"
"('12433_172',)","('192.168.210.53',)",1.0,"('12433_172',)"
"('12662_190',)","('192.168.220.48',)",1.0,"('12662_190',)"
"('12666_224',)","('192.168.220.48',)",1.0,"('12666_224',)"
"('12687_11',)","('192.168.220.51',)",1.0,"('12687_11',)"
"('10694_116',)","('192.168.220.47',)",0.7777777777777778,"('10694_116',)"
"('10123_27',)","('192.168.210.47',)",0.7222222222222222,"('10123_27',)"
"('12923_206',)","('192.168.210.57',)",1.0,"('12923_206',)"
"('10088_105',)","('192.168.210.57',)",0.7222222222222222,"('10088_105',)"
"('13056_108',)","('192.168.220.46',)",0.7222222222222222,"('13056_108',)"
"('13083_20',)","('192.168.220.45',)",0.7222222222222222,"('13083_20',)"
"('12198_161',)","('192.168.220.45',)",1.0,"('12198_161',)"
"('10002_13',)","('192.168.220.47',)",0.7222222222222222,"('10002_13',)"
"('13303_41',)","('192.168.220.47',)",1.0,"('13303_41',)"
"('10243_47',)","('192.168.220.51',)",1.0,"('10243_47',)"
"('13303_58',)","('192.168.220.47',)",1.0,"('13303_58',)"
"('13353_39',)","('192.168.220.47',)",1.0,"('13353_39',)"
"('13356_142',)","('192.168.220.47',)",1.0,"('13356_142',)"
"('13359_58',)","('192.168.220.47',)",1.0,"('13359_58',)"
"('13370_210',)","('192.168.220.49',)",1.0,"('13370_210',)"
"('13392_117',)","('192.168.220.51',)",1.0,"('13392_117',)"
"('13420_186',)","('192.168.220.47',)",1.0,"('13420_186',)"
"('13500_247',)","('192.168.220.50',)",1.0,"('13500_247',)"
"('13520_198',)","('192.168.210.46',)",1.0,"('13520_198',)"
"('13694_12',)","('192.168.210.45',)",1.0,"('13694_12',)"
"('13455_159',)","('192.168.220.50',)",1.0,"('13455_159',)"
"('13300_227',)","('192.168.220.50',)",1.0,"('13300_227',)"
"('10138_83',)","('192.168.220.47',)",0.9444444444444444,"('10138_83',)"
"('11026_211',)","('192.168.210.50',)",1.0,"('11026_211',)"
"('13964_106',)","('192.168.220.48',)",1.0,"('13964_106',)"
"('14003_180',)","('192.168.220.43',)",1.0,"('14003_180',)"
"('14009_143',)","('192.168.220.51',)",0.7777777777777778,"('14009_143',)"
"('13243_27',)","('192.168.220.51',)",1.0,"('13243_27',)"
"('14022_1',)","('192.168.220.50',)",1.0,"('14022_1',)"
"('14045_50',)","('192.168.220.50',)",0.7777777777777778,"('14045_50',)"
"('10372_51',)","('192.168.220.51',)",0.8888888888888888,"('10372_51',)"
"('11312_29',)","('192.168.210.47',)",1.0,"('11312_29',)"
"('11690_205',)","('192.168.220.51',)",1.0,"('11690_205',)"
"('10661_23',)","('192.168.220.51',)",1.0,"('10661_23',)"
"('14265_252',)","('192.168.220.51',)",0.7222222222222222,"('14265_252',)"
"('14333_21',)","('192.168.210.49',)",1.0,"('14333_21',)"
"('10718_115',)","('192.168.220.51',)",1.0,"('10718_115',)"
"('12201_104',)","('192.168.220.47',)",1.0,"('12201_104',)"
"('14465_225',)","('192.168.220.51',)",1.0,"('14465_225',)"
"('14486_126',)","('192.168.210.56',)",1.0,"('14486_126',)"
"('14453_76',)","('192.168.220.51',)",1.0,"('14453_76',)"
"('14557_166',)","('192.168.220.45',)",1.0,"('14557_166',)"
"('10027_241',)","('192.168.220.48',)",1.0,"('10027_241',)"
"('10343_196',)","('192.168.220.51',)",1.0,"('10343_196',)"
"('14604_213',)","('192.168.210.45',)",1.0,"('14604_213',)"
"('14605_180',)","('192.168.220.47',)",1.0,"('14605_180',)"
"('14617_52',)","('192.168.210.48',)",1.0,"('14617_52',)"
"('10088_246',)","('192.168.220.47',)",1.0,"('10088_246',)"
"('12040_80',)","('192.168.220.47',)",1.0,"('12040_80',)"
"('12163_40',)","('192.168.220.51',)",1.0,"('12163_40',)"
"('12443_229',)","('192.168.210.53',)",1.0,"('12443_229',)"
"('11831_3',)","('192.168.220.51',)",0.6756756756756757,"('11831_3',)"
"('11859_139',)","('192.168.220.47',)",1.0,"('11859_139',)"
"('10343_145',)","('192.168.220.51',)",1.0,"('10343_145',)"
"('13357_121',)","('192.168.220.47',)",1.0,"('13357_121',)"
"('13449_153',)","('192.168.210.45',)",0.7027027027027027,"('13449_153',)"
"('11667_98',)","('192.168.210.45',)",1.0,"('11667_98',)"
"('13795_96',)","('192.168.220.42',)",1.0,"('13795_96',)"
"('12137_82',)","('192.168.220.50',)",0.7297297297297297,"('12137_82',)"
"('11340_40',)","('192.168.220.51',)",1.0,"('11340_40',)"
"('14288_207',)","('192.168.220.51',)",1.0,"('14288_207',)"
"('13644_103',)","('192.168.220.51',)",1.0,"('13644_103',)"
"('10372_93',)","('192.168.220.47',)",1.0,"('10372_93',)"
"('11137_89',)","('192.168.210.55',)",0.8421052631578947,"('11137_89',)"
"('11249_50',)","('192.168.210.56',)",1.0,"('11249_50',)"
"('11258_69',)","('192.168.210.56',)",1.0,"('11258_69',)"
"('11472_51',)","('192.168.220.45',)",1.0,"('11472_51',)"
"('11901_227',)","('192.168.220.47',)",0.7894736842105263,"('11901_227',)"
"('10343_140',)","('192.168.220.47',)",1.0,"('10343_140',)"
"('10588_31',)","('192.168.220.47',)",0.6842105263157895,"('10588_31',)"
"('11649_83',)","('192.168.220.46',)",1.0,"('11649_83',)"
"('12079_72',)","('192.168.210.57',)",0.6052631578947368,"('12079_72',)"
"('12090_156',)","('192.168.220.42',)",1.0,"('12090_156',)"
"('10088_184',)","('192.168.220.42',)",1.0,"('10088_184',)"
"('10764_219',)","('192.168.220.51',)",1.0,"('10764_219',)"
"('10234_101',)","('192.168.210.53',)",0.6842105263157895,"('10234_101',)"
"('11500_209',)","('192.168.210.56',)",0.7368421052631579,"('11500_209',)"
"('13056_115',)","('192.168.220.46',)",1.0,"('13056_115',)"
"('13149_136',)","('192.168.220.45',)",1.0,"('13149_136',)"
"('13173_138',)","('192.168.220.47',)",0.7368421052631579,"('13173_138',)"
"('13334_218',)","('192.168.220.47',)",1.0,"('13334_218',)"
"('10320_29',)","('192.168.220.47',)",1.0,"('10320_29',)"
"('13337_190',)","('192.168.220.47',)",1.0,"('13337_190',)"
"('13374_43',)","('192.168.220.51',)",0.631578947368421,"('13374_43',)"
"('11619_85',)","('192.168.210.46',)",1.0,"('11619_85',)"
"('12505_103',)","('192.168.220.51',)",0.631578947368421,"('12505_103',)"
"('13683_157',)","('192.168.210.45',)",1.0,"('13683_157',)"
"('10449_18',)","('192.168.210.53',)",0.6842105263157895,"('10449_18',)"
"('13828_25',)","('192.168.220.43',)",1.0,"('13828_25',)"
"('13880_197',)","('192.168.220.51',)",0.631578947368421,"('13880_197',)"
"('13898_168',)","('192.168.210.55',)",1.0,"('13898_168',)"
"('10485_17',)","('192.168.220.51',)",1.0,"('10485_17',)"
"('13363_99',)","('192.168.220.51',)",1.0,"('13363_99',)"
"('14344_136',)","('192.168.220.47',)",1.0,"('14344_136',)"
"('13644_100',)","('192.168.220.51',)",1.0,"('13644_100',)"
"('12730_109',)","('192.168.220.45',)",1.0,"('12730_109',)"
"('10372_181',)","('192.168.220.42',)",1.0,"('10372_181',)"
"('14483_234',)","('192.168.210.56',)",1.0,"('14483_234',)"
"('10932_213',)","('192.168.220.47',)",1.0,"('10932_213',)"
"('11635_134',)","('192.168.220.47',)",0.7692307692307693,"('11635_134',)"
"('12419_138',)","('192.168.210.53',)",0.8974358974358975,"('12419_138',)"
"('12493_174',)","('192.168.210.52',)",0.5897435897435898,"('12493_174',)"
"('12920_57',)","('192.168.220.51',)",0.6666666666666666,"('12920_57',)"
"('12930_218',)","('192.168.220.45',)",1.0,"('12930_218',)"
"('13032_70',)","('192.168.220.50',)",1.0,"('13032_70',)"
"('13270_3',)","('192.168.220.50',)",1.0,"('13270_3',)"
"('13943_100',)","('192.168.220.49',)",1.0,"('13943_100',)"
"('14177_2',)","('192.168.220.51',)",1.0,"('14177_2',)"
"('14203_99',)","('192.168.220.51',)",1.0,"('14203_99',)"
"('14280_99',)","('192.168.220.51',)",1.0,"('14280_99',)"
"('13176_74',)","('192.168.220.44',)",1.0,"('13176_74',)"
"('10343_153',)","('192.168.210.45',)",1.0,"('10343_153',)"
"('14597_7',)","('192.168.220.51',)",1.0,"('14597_7',)"
"('10320_182',)","('192.168.220.47',)",1.0,"('10320_182',)"
"('10744_34',)","('192.168.220.47',)",1.0,"('10744_34',)"
"('11291_33',)","('192.168.220.47',)",0.65,"('11291_33',)"
"('11402_67',)","('192.168.220.47',)",1.0,"('11402_67',)"
"('11435_12',)","('192.168.220.42',)",1.0,"('11435_12',)"
"('10088_43',)","('192.168.210.45',)",1.0,"('10088_43',)"
"('10416_140',)","('192.168.220.47',)",0.8,"('10416_140',)"
"('10110_52',)","('192.168.220.47',)",0.75,"('10110_52',)"
"('10708_252',)","('192.168.210.53',)",0.8,"('10708_252',)"
"('11668_140',)","('192.168.220.51',)",0.6,"('11668_140',)"
"('10202_35',)","('192.168.220.51',)",0.85,"('10202_35',)"
"('11010_233',)","('192.168.210.46',)",1.0,"('11010_233',)"
"('10708_12',)","('192.168.210.55',)",1.0,"('10708_12',)"
"('11649_27',)","('192.168.210.55',)",1.0,"('11649_27',)"
"('11876_210',)","('192.168.220.47',)",1.0,"('11876_210',)"
"('11278_44',)","('192.168.220.47',)",1.0,"('11278_44',)"
"('10307_78',)","('192.168.220.47',)",0.75,"('10307_78',)"
"('12120_66',)","('192.168.220.42',)",1.0,"('12120_66',)"
"('12178_50',)","('192.168.210.45',)",0.6,"('12178_50',)"
"('10371_24',)","('192.168.220.51',)",0.775,"('10371_24',)"
"('12214_198',)","('192.168.210.54',)",1.0,"('12214_198',)"
"('10708_196',)","('192.168.220.47',)",0.8,"('10708_196',)"
"('10244_204',)","('192.168.210.52',)",1.0,"('10244_204',)"
"('11164_49',)","('192.168.220.51',)",0.6,"('11164_49',)"
"('12659_184',)","('192.168.220.51',)",0.6,"('12659_184',)"
"('11500_106',)","('192.168.210.56',)",0.85,"('11500_106',)"
"('12833_66',)","('192.168.210.47',)",1.0,"('12833_66',)"
"('12951_246',)","('192.168.220.42',)",1.0,"('12951_246',)"
"('10343_44',)","('192.168.220.51',)",1.0,"('10343_44',)"
"('10343_132',)","('192.168.220.51',)",0.8,"('10343_132',)"
"('13091_232',)","('192.168.220.43',)",1.0,"('13091_232',)"
"('10279_33',)","('192.168.210.49',)",0.6,"('10279_33',)"
"('13189_176',)","('192.168.210.54',)",0.65,"('13189_176',)"
"('10373_33',)","('192.168.220.50',)",1.0,"('10373_33',)"
"('13258_73',)","('192.168.220.50',)",1.0,"('13258_73',)"
"('13508_69',)","('192.168.220.51',)",0.6,"('13508_69',)"
"('13603_4',)","('192.168.220.47',)",1.0,"('13603_4',)"
"('11472_16',)","('192.168.220.51',)",1.0,"('11472_16',)"
"('10369_35',)","('192.168.210.48',)",0.6,"('10369_35',)"
"('10088_155',)","('192.168.210.52',)",0.65,"('10088_155',)"
"('11685_156',)","('192.168.220.51',)",1.0,"('11685_156',)"
"('14165_201',)","('192.168.210.54',)",1.0,"('14165_201',)"
"('14274_5',)","('192.168.220.50',)",0.85,"('14274_5',)"
"('14321_8',)","('192.168.220.51',)",1.0,"('14321_8',)"
"('10310_3',)","('192.168.220.51',)",1.0,"('10310_3',)"
"('10088_21',)","('192.168.210.46',)",1.0,"('10088_21',)"
"('10718_132',)","('192.168.220.45',)",1.0,"('10718_132',)"
"('11364_13',)","('192.168.210.56',)",1.0,"('11364_13',)"
"('10708_116',)","('192.168.220.47',)",1.0,"('10708_116',)"
"('14564_166',)","('192.168.220.51',)",1.0,"('14564_166',)"
"('10862_111',)","('192.168.220.51',)",1.0,"('10862_111',)"
"('14616_34',)","('192.168.210.48',)",1.0,"('14616_34',)"
"('10036_30',)","('192.168.210.54',)",0.5609756097560976,"('10036_30',)"
"('10717_67',)","('192.168.220.43',)",0.6341463414634146,"('10717_67',)"
"('11936_85',)","('192.168.220.51',)",0.7560975609756098,"('11936_85',)"
"('10776_81',)","('192.168.210.54',)",0.5609756097560976,"('10776_81',)"
"('12398_241',)","('192.168.210.53',)",0.6097560975609756,"('12398_241',)"
"('12452_254',)","('192.168.220.47',)",0.8780487804878049,"('12452_254',)"
"('13262_3',)","('192.168.220.50',)",1.0,"('13262_3',)"
"('13844_113',)","('192.168.210.55',)",0.8048780487804879,"('13844_113',)"
"('13631_71',)","('192.168.210.49',)",1.0,"('13631_71',)"
"('13909_149',)","('192.168.220.51',)",0.6585365853658537,"('13909_149',)"
"('14047_127',)","('192.168.220.51',)",0.5609756097560976,"('14047_127',)"
"('14158_19',)","('192.168.210.54',)",1.0,"('14158_19',)"
"('14194_241',)","('192.168.220.51',)",1.0,"('14194_241',)"
"('13194_61',)","('192.168.220.46',)",1.0,"('13194_61',)"
"('14503_15',)","('192.168.210.49',)",1.0,"('14503_15',)"
"('14506_61',)","('192.168.210.49',)",1.0,"('14506_61',)"
"('10302_66',)","('192.168.220.47',)",0.6666666666666666,"('10302_66',)"
"('10003_80',)","('192.168.210.46',)",0.7619047619047619,"('10003_80',)"
"('11431_158',)","('192.168.210.52',)",0.5476190476190477,"('11431_158',)"
"('11189_132',)","('192.168.220.46',)",1.0,"('11189_132',)"
"('11779_254',)","('192.168.210.57',)",1.0,"('11779_254',)"
"('10512_71',)","('192.168.210.52',)",0.5714285714285714,"('10512_71',)"
"('12080_114',)","('192.168.210.52',)",0.5714285714285714,"('12080_114',)"
"('10088_41',)","('192.168.220.42',)",1.0,"('10088_41',)"
"('12118_143',)","('192.168.220.42',)",1.0,"('12118_143',)"
"('12579_244',)","('192.168.220.48',)",0.6666666666666666,"('12579_244',)"
"('12677_27',)","('192.168.210.46',)",0.7619047619047619,"('12677_27',)"
"('12689_230',)","('192.168.220.51',)",1.0,"('12689_230',)"
"('12701_55',)","('192.168.220.51',)",1.0,"('12701_55',)"
"('12776_70',)","('192.168.220.42',)",0.6190476190476191,"('12776_70',)"
"('12826_86',)","('192.168.220.47',)",0.7142857142857143,"('12826_86',)"
"('10694_12',)","('192.168.220.43',)",0.6666666666666666,"('10694_12',)"
"('12942_36',)","('192.168.220.49',)",0.7142857142857143,"('12942_36',)"
"('13055_59',)","('192.168.220.46',)",0.7619047619047619,"('13055_59',)"
"('13075_139',)","('192.168.220.51',)",1.0,"('13075_139',)"
"('10058_167',)","('192.168.210.45',)",0.9047619047619048,"('10058_167',)"
"('11619_3',)","('192.168.220.45',)",1.0,"('11619_3',)"
"('13174_27',)","('192.168.210.49',)",0.6666666666666666,"('13174_27',)"
"('13313_20',)","('192.168.220.51',)",1.0,"('13313_20',)"
"('10057_228',)","('192.168.220.49',)",1.0,"('10057_228',)"
"('11768_23',)","('192.168.220.50',)",1.0,"('11768_23',)"
"('11958_36',)","('192.168.220.51',)",0.8571428571428571,"('11958_36',)"
"('11649_197',)","('192.168.220.47',)",1.0,"('11649_197',)"
"('13505_18',)","('192.168.220.51',)",1.0,"('13505_18',)"
"('13524_115',)","('192.168.210.46',)",1.0,"('13524_115',)"
"('13548_46',)","('192.168.210.57',)",0.6666666666666666,"('13548_46',)"
"('11685_217',)","('192.168.220.51',)",1.0,"('11685_217',)"
"('13717_38',)","('192.168.210.45',)",0.6190476190476191,"('13717_38',)"
"('13834_201',)","('192.168.210.57',)",0.6190476190476191,"('13834_201',)"
"('13836_24',)","('192.168.210.47',)",1.0,"('13836_24',)"
"('13890_142',)","('192.168.210.49',)",0.6666666666666666,"('13890_142',)"
"('14012_0',)","('192.168.220.51',)",0.6666666666666666,"('14012_0',)"
"('14020_67',)","('192.168.210.47',)",0.6666666666666666,"('14020_67',)"
"('14037_35',)","('192.168.220.51',)",0.6666666666666666,"('14037_35',)"
"('14086_196',)","('192.168.210.47',)",1.0,"('14086_196',)"
"('11312_86',)","('192.168.210.47',)",1.0,"('11312_86',)"
"('14133_17',)","('192.168.220.51',)",1.0,"('14133_17',)"
"('11690_23',)","('192.168.220.51',)",1.0,"('11690_23',)"
"('10817_57',)","('192.168.220.51',)",0.5714285714285714,"('10817_57',)"
