,0,IP
"('10027_242', '192.168.210.47')",37,"('10027_242', '192.168.210.47')"
"('10027_242', '192.168.220.51')",45,"('10027_242', '192.168.220.51')"
"('11167_180',)",124,"('11167_180',)"
"('11167_180', '192.168.220.45')",124,"('11167_180', '192.168.220.45')"
"('10338_94', '192.168.220.46')",16,"('10338_94', '192.168.220.46')"
"('10338_94', '192.168.220.50')",25,"('10338_94', '192.168.220.50')"
"('10338_94', '192.168.220.47')",84,"('10338_94', '192.168.220.47')"
"('11731_31', '192.168.210.48')",23,"('11731_31', '192.168.210.48')"
"('11731_31', '192.168.210.46')",102,"('11731_31', '192.168.210.46')"
"('13070_181', '192.168.220.42')",12,"('13070_181', '192.168.220.42')"
"('13070_181', '192.168.220.46')",12,"('13070_181', '192.168.220.46')"
"('13070_181', '192.168.220.51')",13,"('13070_181', '192.168.220.51')"
"('13070_181', '192.168.220.50')",16,"('13070_181', '192.168.220.50')"
"('13070_181', '192.168.210.45')",18,"('13070_181', '192.168.210.45')"
"('13070_181', '192.168.220.47')",46,"('13070_181', '192.168.220.47')"
"('13682_125', '192.168.220.42')",29,"('13682_125', '192.168.220.42')"
"('13682_125', '192.168.210.52')",44,"('13682_125', '192.168.210.52')"
"('13682_125', '192.168.210.48')",52,"('13682_125', '192.168.210.48')"
"('10026_72', '192.168.210.57')",14,"('10026_72', '192.168.210.57')"
"('10026_72', '192.168.210.48')",16,"('10026_72', '192.168.210.48')"
"('10026_72', '192.168.220.47')",34,"('10026_72', '192.168.220.47')"
"('10026_72', '192.168.220.51')",36,"('10026_72', '192.168.220.51')"
"('10042_20', '192.168.220.48')",16,"('10042_20', '192.168.220.48')"
"('10042_20', '192.168.220.50')",104,"('10042_20', '192.168.220.50')"
"('10299_52', '192.168.220.47')",28,"('10299_52', '192.168.220.47')"
"('10299_52', '192.168.210.55')",36,"('10299_52', '192.168.210.55')"
"('10299_52', '192.168.220.51')",62,"('10299_52', '192.168.220.51')"
"('10045_125', '192.168.220.50')",12,"('10045_125', '192.168.220.50')"
"('10045_125', '192.168.220.51')",52,"('10045_125', '192.168.220.51')"
"('10045_125', '192.168.220.47')",56,"('10045_125', '192.168.220.47')"
"('10796_252', '192.168.210.56')",12,"('10796_252', '192.168.210.56')"
"('10796_252', '192.168.220.50')",14,"('10796_252', '192.168.220.50')"
"('10796_252', '192.168.220.46')",20,"('10796_252', '192.168.220.46')"
"('10796_252', '192.168.220.42')",28,"('10796_252', '192.168.220.42')"
"('10796_252', '192.168.220.51')",36,"('10796_252', '192.168.220.51')"
"('13090_16', '192.168.210.48')",14,"('13090_16', '192.168.210.48')"
"('13090_16', '192.168.220.45')",16,"('13090_16', '192.168.220.45')"
"('13090_16', '192.168.220.48')",18,"('13090_16', '192.168.220.48')"
"('13090_16', '192.168.220.47')",18,"('13090_16', '192.168.220.47')"
"('13090_16', '192.168.220.42')",30,"('13090_16', '192.168.220.42')"
"('13090_16', '192.168.210.47')",30,"('13090_16', '192.168.210.47')"
"('10030_137',)",126,"('10030_137',)"
"('10030_137', '192.168.210.49')",126,"('10030_137', '192.168.210.49')"
"('13416_84', '192.168.220.42')",18,"('13416_84', '192.168.220.42')"
"('13416_84', '192.168.210.46')",30,"('13416_84', '192.168.210.46')"
"('13416_84', '192.168.220.49')",34,"('13416_84', '192.168.220.49')"
"('13416_84', '192.168.220.51')",38,"('13416_84', '192.168.220.51')"
"('10088_143', '192.168.210.53')",26,"('10088_143', '192.168.210.53')"
"('10088_143', '192.168.210.47')",38,"('10088_143', '192.168.210.47')"
"('10088_143', '192.168.210.48')",52,"('10088_143', '192.168.210.48')"
"('14594_192',)",126,"('14594_192',)"
"('14594_192', '192.168.220.51')",126,"('14594_192', '192.168.220.51')"
"('10015_4', '192.168.220.49')",12,"('10015_4', '192.168.220.49')"
"('10015_4', '192.168.220.42')",12,"('10015_4', '192.168.220.42')"
"('10015_4', '192.168.100.11')",14,"('10015_4', '192.168.100.11')"
"('10015_4', '192.168.210.26')",16,"('10015_4', '192.168.210.26')"
"('10856_104', '192.168.210.48')",12,"('10856_104', '192.168.210.48')"
"('10856_104', '192.168.210.45')",20,"('10856_104', '192.168.210.45')"
"('10856_104', '192.168.220.51')",26,"('10856_104', '192.168.220.51')"
"('10856_104', '192.168.220.47')",42,"('10856_104', '192.168.220.47')"
"('11312_162', '192.168.220.49')",57,"('11312_162', '192.168.220.49')"
"('11312_162', '192.168.210.47')",70,"('11312_162', '192.168.210.47')"
"('12296_202', '192.168.220.47')",12,"('12296_202', '192.168.220.47')"
"('12296_202', '192.168.210.47')",13,"('12296_202', '192.168.210.47')"
"('12296_202', '192.168.220.46')",14,"('12296_202', '192.168.220.46')"
"('12296_202', '192.168.220.49')",20,"('12296_202', '192.168.220.49')"
"('12296_202', '192.168.220.51')",24,"('12296_202', '192.168.220.51')"
"('12296_202', '192.168.220.43')",28,"('12296_202', '192.168.220.43')"
"('13002_34', '192.168.220.51')",20,"('13002_34', '192.168.220.51')"
"('13002_34', '192.168.210.49')",107,"('13002_34', '192.168.210.49')"
"('11078_209', '192.168.220.48')",21,"('11078_209', '192.168.220.48')"
"('11078_209', '192.168.210.49')",21,"('11078_209', '192.168.210.49')"
"('11078_209', '192.168.220.47')",24,"('11078_209', '192.168.220.47')"
"('11078_209', '192.168.220.43')",26,"('11078_209', '192.168.220.43')"
"('11078_209', '192.168.220.50')",27,"('11078_209', '192.168.220.50')"
"('10009_3', '192.168.220.48')",16,"('10009_3', '192.168.220.48')"
"('10009_3', '192.168.220.49')",106,"('10009_3', '192.168.220.49')"
"('11385_3', '192.168.220.49')",25,"('11385_3', '192.168.220.49')"
"('11385_3', '192.168.210.45')",25,"('11385_3', '192.168.210.45')"
"('11385_3', '192.168.210.47')",27,"('11385_3', '192.168.210.47')"
"('11385_3', '192.168.220.42')",40,"('11385_3', '192.168.220.42')"
"('11490_59', '192.168.220.46')",24,"('11490_59', '192.168.220.46')"
"('11490_59', '192.168.220.50')",26,"('11490_59', '192.168.220.50')"
"('11490_59', '192.168.220.51')",78,"('11490_59', '192.168.220.51')"
"('10759_43',)",128,"('10759_43',)"
"('10759_43', '192.168.220.47')",128,"('10759_43', '192.168.220.47')"
"('11770_181', '192.168.210.47')",14,"('11770_181', '192.168.210.47')"
"('11770_181', '192.168.220.43')",20,"('11770_181', '192.168.220.43')"
"('11770_181', '192.168.220.51')",94,"('11770_181', '192.168.220.51')"
"('12463_70', '192.168.210.55')",16,"('12463_70', '192.168.210.55')"
"('12463_70', '192.168.220.47')",32,"('12463_70', '192.168.220.47')"
"('12463_70', '192.168.220.45')",80,"('12463_70', '192.168.220.45')"
"('10718_220', '192.168.210.47')",56,"('10718_220', '192.168.210.47')"
"('10718_220', '192.168.210.48')",72,"('10718_220', '192.168.210.48')"
"('13036_29', '192.168.220.50')",40,"('13036_29', '192.168.220.50')"
"('13036_29', '192.168.220.48')",88,"('13036_29', '192.168.220.48')"
"('13085_24',)",128,"('13085_24',)"
"('13085_24', '192.168.220.49')",128,"('13085_24', '192.168.220.49')"
"('10343_28', '192.168.220.50')",56,"('10343_28', '192.168.220.50')"
"('10343_28', '192.168.210.54')",72,"('10343_28', '192.168.210.54')"
"('13241_173', '192.168.220.48')",26,"('13241_173', '192.168.220.48')"
"('13241_173', '192.168.220.51')",102,"('13241_173', '192.168.220.51')"
"('13864_52', '192.168.210.49')",18,"('13864_52', '192.168.210.49')"
"('13864_52', '192.168.220.45')",24,"('13864_52', '192.168.220.45')"
"('13864_52', '192.168.210.46')",28,"('13864_52', '192.168.210.46')"
"('13864_52', '192.168.220.51')",50,"('13864_52', '192.168.220.51')"
"('14154_89',)",128,"('14154_89',)"
"('14154_89', '192.168.210.54')",128,"('14154_89', '192.168.210.54')"
"('14155_88',)",128,"('14155_88',)"
"('14155_88', '192.168.210.54')",128,"('14155_88', '192.168.210.54')"
"('10708_220',)",128,"('10708_220',)"
"('10708_220', '192.168.220.43')",128,"('10708_220', '192.168.220.43')"
"('10718_148', '192.168.220.47')",56,"('10718_148', '192.168.220.47')"
"('10718_148', '192.168.220.51')",72,"('10718_148', '192.168.220.51')"
"('11021_172', '192.168.210.52')",14,"('11021_172', '192.168.210.52')"
"('11021_172', '192.168.210.57')",14,"('11021_172', '192.168.210.57')"
"('11021_172', '192.168.220.48')",23,"('11021_172', '192.168.220.48')"
"('11021_172', '192.168.210.54')",34,"('11021_172', '192.168.210.54')"
"('11021_172', '192.168.220.47')",44,"('11021_172', '192.168.220.47')"
"('11237_57', '192.168.220.43')",12,"('11237_57', '192.168.220.43')"
"('11237_57', '192.168.220.45')",22,"('11237_57', '192.168.220.45')"
"('11237_57', '192.168.220.51')",57,"('11237_57', '192.168.220.51')"
"('11513_244',)",129,"('11513_244',)"
"('11513_244', '192.168.220.47')",129,"('11513_244', '192.168.220.47')"
"('11550_196', '192.168.220.50')",56,"('11550_196', '192.168.220.50')"
"('11550_196', '192.168.210.54')",73,"('11550_196', '192.168.210.54')"
"('12164_94', '192.168.220.48')",14,"('12164_94', '192.168.220.48')"
"('12164_94', '192.168.210.54')",29,"('12164_94', '192.168.210.54')"
"('12164_94', '192.168.220.51')",86,"('12164_94', '192.168.220.51')"
"('12382_55', '192.168.220.45')",12,"('12382_55', '192.168.220.45')"
"('12382_55', '192.168.210.45')",23,"('12382_55', '192.168.210.45')"
"('12382_55', '192.168.210.52')",30,"('12382_55', '192.168.210.52')"
"('12382_55', '192.168.220.51')",64,"('12382_55', '192.168.220.51')"
"('12983_65', '192.168.220.46')",18,"('12983_65', '192.168.220.46')"
"('12983_65', '192.168.220.51')",28,"('12983_65', '192.168.220.51')"
"('12983_65', '192.168.210.48')",29,"('12983_65', '192.168.210.48')"
"('12983_65', '192.168.220.45')",54,"('12983_65', '192.168.220.45')"
"('13361_102', '192.168.210.47')",32,"('13361_102', '192.168.210.47')"
"('13361_102', '192.168.220.49')",44,"('13361_102', '192.168.220.49')"
"('13361_102', '192.168.220.47')",53,"('13361_102', '192.168.220.47')"
"('14269_13', '192.168.210.54')",51,"('14269_13', '192.168.210.54')"
"('14269_13', '192.168.210.56')",78,"('14269_13', '192.168.210.56')"
"('10002_174', '192.168.210.54')",60,"('10002_174', '192.168.210.54')"
"('10002_174', '192.168.210.57')",70,"('10002_174', '192.168.210.57')"
"('10166_27', '192.168.210.47')",26,"('10166_27', '192.168.210.47')"
"('10166_27', '192.168.220.46')",36,"('10166_27', '192.168.220.46')"
"('10166_27', '192.168.220.49')",68,"('10166_27', '192.168.220.49')"
"('10045_177', '192.168.220.47')",30,"('10045_177', '192.168.220.47')"
"('10045_177', '192.168.210.50')",100,"('10045_177', '192.168.210.50')"
"('10067_59', '192.168.220.48')",16,"('10067_59', '192.168.220.48')"
"('10067_59', '192.168.220.50')",26,"('10067_59', '192.168.220.50')"
"('10067_59', '192.168.220.47')",26,"('10067_59', '192.168.220.47')"
"('10067_59', '192.168.220.45')",54,"('10067_59', '192.168.220.45')"
"('11520_211', '192.168.210.53')",16,"('11520_211', '192.168.210.53')"
"('11520_211', '192.168.220.46')",18,"('11520_211', '192.168.220.46')"
"('11520_211', '192.168.220.45')",18,"('11520_211', '192.168.220.45')"
"('11520_211', '192.168.210.54')",22,"('11520_211', '192.168.210.54')"
"('11520_211', '192.168.220.47')",37,"('11520_211', '192.168.220.47')"
"('11842_19', '192.168.220.48')",12,"('11842_19', '192.168.220.48')"
"('11842_19', '192.168.210.56')",24,"('11842_19', '192.168.210.56')"
"('11842_19', '192.168.220.47')",30,"('11842_19', '192.168.220.47')"
"('11842_19', '192.168.220.51')",64,"('11842_19', '192.168.220.51')"
"('10572_162', '192.168.210.55')",16,"('10572_162', '192.168.210.55')"
"('10572_162', '192.168.220.47')",16,"('10572_162', '192.168.220.47')"
"('10572_162', '192.168.220.51')",30,"('10572_162', '192.168.220.51')"
"('10572_162', '192.168.210.45')",58,"('10572_162', '192.168.210.45')"
"('12243_229', '192.168.210.50')",58,"('12243_229', '192.168.210.50')"
"('12243_229', '192.168.210.47')",68,"('12243_229', '192.168.210.47')"
"('10491_97', '192.168.220.51')",17,"('10491_97', '192.168.220.51')"
"('10491_97', '192.168.220.42')",19,"('10491_97', '192.168.220.42')"
"('10491_97', '192.168.220.45')",92,"('10491_97', '192.168.220.45')"
"('13172_151', '192.168.220.46')",16,"('13172_151', '192.168.220.46')"
"('13172_151', '192.168.210.45')",18,"('13172_151', '192.168.210.45')"
"('13172_151', '192.168.220.47')",32,"('13172_151', '192.168.220.47')"
"('13172_151', '192.168.220.50')",32,"('13172_151', '192.168.220.50')"
"('13172_151', '192.168.210.47')",32,"('13172_151', '192.168.210.47')"
"('11342_176', '192.168.210.45')",16,"('11342_176', '192.168.210.45')"
"('11342_176', '192.168.210.55')",16,"('11342_176', '192.168.210.55')"
"('11342_176', '192.168.220.51')",16,"('11342_176', '192.168.220.51')"
"('11342_176', '192.168.210.57')",20,"('11342_176', '192.168.210.57')"
"('11342_176', '192.168.210.50')",26,"('11342_176', '192.168.210.50')"
"('11342_176', '192.168.210.52')",28,"('11342_176', '192.168.210.52')"
"('11517_176', '192.168.210.53')",36,"('11517_176', '192.168.210.53')"
"('11517_176', '192.168.220.47')",95,"('11517_176', '192.168.220.47')"
"('11782_245', '192.168.220.46')",12,"('11782_245', '192.168.220.46')"
"('11782_245', '192.168.220.45')",15,"('11782_245', '192.168.220.45')"
"('11782_245', '192.168.210.54')",16,"('11782_245', '192.168.210.54')"
"('11782_245', '192.168.220.51')",88,"('11782_245', '192.168.220.51')"
"('10682_134', '192.168.210.52')",12,"('10682_134', '192.168.210.52')"
"('10682_134', '192.168.210.47')",16,"('10682_134', '192.168.210.47')"
"('10682_134', '192.168.220.46')",24,"('10682_134', '192.168.220.46')"
"('10682_134', '192.168.220.47')",47,"('10682_134', '192.168.220.47')"
"('12483_140', '192.168.210.53')",28,"('12483_140', '192.168.210.53')"
"('12483_140', '192.168.210.54')",43,"('12483_140', '192.168.210.54')"
"('12483_140', '192.168.210.55')",60,"('12483_140', '192.168.210.55')"
"('13972_11',)",131,"('13972_11',)"
"('13972_11', '192.168.220.48')",131,"('13972_11', '192.168.220.48')"
"('10130_233', '192.168.210.47')",12,"('10130_233', '192.168.210.47')"
"('10130_233', '192.168.220.48')",14,"('10130_233', '192.168.220.48')"
"('10130_233', '192.168.210.48')",22,"('10130_233', '192.168.210.48')"
"('10130_233', '192.168.220.51')",26,"('10130_233', '192.168.220.51')"
"('10130_233', '192.168.220.42')",32,"('10130_233', '192.168.220.42')"
"('10343_68', '192.168.210.52')",48,"('10343_68', '192.168.210.52')"
"('10343_68', '192.168.220.47')",84,"('10343_68', '192.168.220.47')"
"('10637_110', '192.168.210.53')",14,"('10637_110', '192.168.210.53')"
"('10637_110', '192.168.220.50')",14,"('10637_110', '192.168.220.50')"
"('10637_110', '192.168.210.47')",14,"('10637_110', '192.168.210.47')"
"('10637_110', '192.168.220.43')",14,"('10637_110', '192.168.220.43')"
"('10637_110', '192.168.210.49')",18,"('10637_110', '192.168.210.49')"
"('10637_110', '192.168.220.47')",50,"('10637_110', '192.168.220.47')"
"('10731_186',)",132,"('10731_186',)"
"('10731_186', '192.168.220.47')",132,"('10731_186', '192.168.220.47')"
"('10795_102', '192.168.210.56')",12,"('10795_102', '192.168.210.56')"
"('10795_102', '192.168.220.48')",12,"('10795_102', '192.168.220.48')"
"('10795_102', '192.168.220.47')",14,"('10795_102', '192.168.220.47')"
"('10795_102', '192.168.220.42')",14,"('10795_102', '192.168.220.42')"
"('10795_102', '192.168.210.54')",16,"('10795_102', '192.168.210.54')"
"('10795_102', '192.168.220.51')",30,"('10795_102', '192.168.220.51')"
"('10005_253', '192.168.210.54')",48,"('10005_253', '192.168.210.54')"
"('10005_253', '192.168.210.57')",84,"('10005_253', '192.168.210.57')"
"('10588_6', '192.168.220.42')",20,"('10588_6', '192.168.220.42')"
"('10588_6', '192.168.210.53')",46,"('10588_6', '192.168.210.53')"
"('10588_6', '192.168.220.51')",50,"('10588_6', '192.168.220.51')"
"('11199_83', '192.168.220.51')",14,"('11199_83', '192.168.220.51')"
"('11199_83', '192.168.220.47')",18,"('11199_83', '192.168.220.47')"
"('11199_83', '192.168.220.46')",20,"('11199_83', '192.168.220.46')"
"('11199_83', '192.168.220.50')",50,"('11199_83', '192.168.220.50')"
"('12291_15', '192.168.220.47')",14,"('12291_15', '192.168.220.47')"
"('12291_15', '192.168.220.51')",14,"('12291_15', '192.168.220.51')"
"('12291_15', '192.168.220.46')",14,"('12291_15', '192.168.220.46')"
"('12291_15', '192.168.220.50')",18,"('12291_15', '192.168.220.50')"
"('12291_15', '192.168.210.47')",18,"('12291_15', '192.168.210.47')"
"('12291_15', '192.168.220.43')",18,"('12291_15', '192.168.220.43')"
"('12291_15', '192.168.210.45')",28,"('12291_15', '192.168.210.45')"
"('10088_71', '192.168.220.47')",18,"('10088_71', '192.168.220.47')"
"('10088_71', '192.168.220.51')",30,"('10088_71', '192.168.220.51')"
"('10088_71', '192.168.220.43')",34,"('10088_71', '192.168.220.43')"
"('10088_71', '192.168.220.42')",50,"('10088_71', '192.168.220.42')"
"('13093_2', '192.168.220.43')",24,"('13093_2', '192.168.220.43')"
"('13093_2', '192.168.220.51')",48,"('13093_2', '192.168.220.51')"
"('13093_2', '192.168.220.50')",60,"('13093_2', '192.168.220.50')"
"('13106_32', '192.168.220.42')",14,"('13106_32', '192.168.220.42')"
"('13106_32', '192.168.220.45')",28,"('13106_32', '192.168.220.45')"
"('13106_32', '192.168.220.50')",40,"('13106_32', '192.168.220.50')"
"('13106_32', '192.168.210.54')",50,"('13106_32', '192.168.210.54')"
"('12468_200',)",132,"('12468_200',)"
"('12468_200', '192.168.220.50')",132,"('12468_200', '192.168.220.50')"
"('13398_201', '192.168.220.49')",24,"('13398_201', '192.168.220.49')"
"('13398_201', '192.168.220.47')",54,"('13398_201', '192.168.220.47')"
"('13398_201', '192.168.210.57')",54,"('13398_201', '192.168.210.57')"
"('12088_61',)",132,"('12088_61',)"
"('12088_61', '192.168.220.51')",132,"('12088_61', '192.168.220.51')"
"('10471_189', '192.168.220.47')",51,"('10471_189', '192.168.220.47')"
"('10471_189', '192.168.210.52')",62,"('10471_189', '192.168.210.52')"
"('11147_18', '192.168.220.42')",16,"('11147_18', '192.168.220.42')"
"('11147_18', '192.168.220.51')",34,"('11147_18', '192.168.220.51')"
"('11147_18', '192.168.220.50')",43,"('11147_18', '192.168.220.50')"
"('10491_67', '192.168.220.45')",18,"('10491_67', '192.168.220.45')"
"('10491_67', '192.168.220.48')",26,"('10491_67', '192.168.220.48')"
"('10491_67', '192.168.220.51')",31,"('10491_67', '192.168.220.51')"
"('10491_70', '192.168.220.48')",14,"('10491_70', '192.168.220.48')"
"('10491_70', '192.168.220.45')",15,"('10491_70', '192.168.220.45')"
"('10491_70', '192.168.220.42')",16,"('10491_70', '192.168.220.42')"
"('10491_70', '192.168.220.47')",17,"('10491_70', '192.168.220.47')"
"('10491_70', '192.168.220.51')",18,"('10491_70', '192.168.220.51')"
"('11495_118', '192.168.220.42')",12,"('11495_118', '192.168.220.42')"
"('11495_118', '192.168.210.57')",26,"('11495_118', '192.168.210.57')"
"('11495_118', '192.168.220.45')",30,"('11495_118', '192.168.220.45')"
"('11495_118', '192.168.220.50')",32,"('11495_118', '192.168.220.50')"
"('11495_118', '192.168.210.55')",33,"('11495_118', '192.168.210.55')"
"('10046_139', '192.168.210.57')",24,"('10046_139', '192.168.210.57')"
"('10046_139', '192.168.210.53')",36,"('10046_139', '192.168.210.53')"
"('10046_139', '192.168.210.54')",73,"('10046_139', '192.168.210.54')"
"('12085_175', '192.168.210.53')",52,"('12085_175', '192.168.210.53')"
"('12085_175', '192.168.210.54')",65,"('12085_175', '192.168.210.54')"
"('10057_27',)",133,"('10057_27',)"
"('10057_27', '192.168.220.43')",133,"('10057_27', '192.168.220.43')"
"('14620_188',)",133,"('14620_188',)"
"('14620_188', '192.168.210.48')",133,"('14620_188', '192.168.210.48')"
"('10278_160', '192.168.210.49')",14,"('10278_160', '192.168.210.49')"
"('10278_160', '192.168.210.55')",16,"('10278_160', '192.168.210.55')"
"('10278_160', '192.168.220.50')",20,"('10278_160', '192.168.220.50')"
"('10278_160', '192.168.220.51')",28,"('10278_160', '192.168.220.51')"
"('10642_199', '192.168.210.48')",18,"('10642_199', '192.168.210.48')"
"('10642_199', '192.168.220.51')",54,"('10642_199', '192.168.220.51')"
"('10642_199', '192.168.220.47')",62,"('10642_199', '192.168.220.47')"
"('10272_189', '192.168.210.56')",20,"('10272_189', '192.168.210.56')"
"('10272_189', '192.168.210.45')",26,"('10272_189', '192.168.210.45')"
"('10272_189', '192.168.220.46')",26,"('10272_189', '192.168.220.46')"
"('10272_189', '192.168.210.55')",26,"('10272_189', '192.168.210.55')"
"('10272_189', '192.168.220.50')",28,"('10272_189', '192.168.220.50')"
"('10088_80', '192.168.220.48')",12,"('10088_80', '192.168.220.48')"
"('10088_80', '192.168.210.52')",26,"('10088_80', '192.168.210.52')"
"('10088_80', '192.168.220.47')",92,"('10088_80', '192.168.220.47')"
"('11115_159', '192.168.210.54')",14,"('11115_159', '192.168.210.54')"
"('11115_159', '192.168.220.51')",16,"('11115_159', '192.168.220.51')"
"('11115_159', '192.168.210.49')",18,"('11115_159', '192.168.210.49')"
"('11115_159', '192.168.220.45')",33,"('11115_159', '192.168.220.45')"
"('11115_159', '192.168.220.49')",53,"('11115_159', '192.168.220.49')"
"('10124_31', '192.168.220.49')",16,"('10124_31', '192.168.220.49')"
"('10124_31', '192.168.220.51')",50,"('10124_31', '192.168.220.51')"
"('10124_31', '192.168.210.46')",52,"('10124_31', '192.168.210.46')"
"('11236_17', '192.168.210.56')",12,"('11236_17', '192.168.210.56')"
"('11236_17', '192.168.220.50')",16,"('11236_17', '192.168.220.50')"
"('11236_17', '192.168.220.51')",46,"('11236_17', '192.168.220.51')"
"('10361_244', '192.168.210.56')",42,"('10361_244', '192.168.210.56')"
"('10361_244', '192.168.220.51')",84,"('10361_244', '192.168.220.51')"
"('10392_27', '192.168.220.47')",16,"('10392_27', '192.168.220.47')"
"('10392_27', '192.168.220.42')",48,"('10392_27', '192.168.220.42')"
"('10392_27', '192.168.220.46')",70,"('10392_27', '192.168.220.46')"
"('10123_31', '192.168.220.45')",40,"('10123_31', '192.168.220.45')"
"('10123_31', '192.168.210.47')",82,"('10123_31', '192.168.210.47')"
"('12688_140',)",134,"('12688_140',)"
"('12688_140', '192.168.220.51')",134,"('12688_140', '192.168.220.51')"
"('10110_37', '192.168.210.48')",12,"('10110_37', '192.168.210.48')"
"('10110_37', '192.168.220.51')",26,"('10110_37', '192.168.220.51')"
"('10110_37', '192.168.220.45')",28,"('10110_37', '192.168.220.45')"
"('10110_37', '192.168.220.48')",55,"('10110_37', '192.168.220.48')"
"('12899_131', '192.168.220.46')",18,"('12899_131', '192.168.220.46')"
"('12899_131', '192.168.210.49')",38,"('12899_131', '192.168.210.49')"
"('12899_131', '192.168.220.51')",78,"('12899_131', '192.168.220.51')"
"('11697_152', '192.168.220.48')",12,"('11697_152', '192.168.220.48')"
"('11697_152', '192.168.220.51')",26,"('11697_152', '192.168.220.51')"
"('11697_152', '192.168.210.57')",34,"('11697_152', '192.168.210.57')"
"('11697_152', '192.168.220.47')",52,"('11697_152', '192.168.220.47')"
"('10088_242',)",134,"('10088_242',)"
"('10088_242', '192.168.220.48')",134,"('10088_242', '192.168.220.48')"
"('10085_11',)",134,"('10085_11',)"
"('10085_11', '192.168.220.51')",134,"('10085_11', '192.168.220.51')"
"('11930_98', '192.168.210.56')",32,"('11930_98', '192.168.210.56')"
"('11930_98', '192.168.220.51')",46,"('11930_98', '192.168.220.51')"
"('11930_98', '192.168.220.43')",56,"('11930_98', '192.168.220.43')"
"('10446_78', '192.168.210.47')",15,"('10446_78', '192.168.210.47')"
"('10446_78', '192.168.210.53')",18,"('10446_78', '192.168.210.53')"
"('10446_78', '192.168.210.48')",22,"('10446_78', '192.168.210.48')"
"('10446_78', '192.168.220.47')",66,"('10446_78', '192.168.220.47')"
"('10650_38',)",135,"('10650_38',)"
"('10650_38', '192.168.220.47')",135,"('10650_38', '192.168.220.47')"
"('10124_43', '192.168.220.50')",18,"('10124_43', '192.168.220.50')"
"('10124_43', '192.168.210.48')",22,"('10124_43', '192.168.210.48')"
"('10124_43', '192.168.210.54')",24,"('10124_43', '192.168.210.54')"
"('10124_43', '192.168.220.51')",38,"('10124_43', '192.168.220.51')"
"('11245_56', '192.168.210.56')",19,"('11245_56', '192.168.210.56')"
"('11245_56', '192.168.220.42')",19,"('11245_56', '192.168.220.42')"
"('11245_56', '192.168.220.51')",28,"('11245_56', '192.168.220.51')"
"('11245_56', '192.168.220.45')",32,"('11245_56', '192.168.220.45')"
"('11245_56', '192.168.210.54')",37,"('11245_56', '192.168.210.54')"
"('10484_68', '192.168.220.48')",12,"('10484_68', '192.168.220.48')"
"('10484_68', '192.168.210.53')",12,"('10484_68', '192.168.210.53')"
"('10484_68', '192.168.220.47')",12,"('10484_68', '192.168.220.47')"
"('10484_68', '192.168.220.43')",34,"('10484_68', '192.168.220.43')"
"('10484_68', '192.168.210.55')",36,"('10484_68', '192.168.210.55')"
"('13373_139', '192.168.220.42')",31,"('13373_139', '192.168.220.42')"
"('13373_139', '192.168.220.51')",104,"('13373_139', '192.168.220.51')"
"('10201_35', '192.168.210.54')",20,"('10201_35', '192.168.210.54')"
"('10201_35', '192.168.220.51')",26,"('10201_35', '192.168.220.51')"
"('10201_35', '192.168.210.48')",86,"('10201_35', '192.168.210.48')"
"('10002_18', '192.168.220.50')",14,"('10002_18', '192.168.220.50')"
"('10002_18', '192.168.210.53')",20,"('10002_18', '192.168.210.53')"
"('10002_18', '192.168.220.51')",41,"('10002_18', '192.168.220.51')"
"('10002_18', '192.168.220.47')",61,"('10002_18', '192.168.220.47')"
"('10977_161', '192.168.210.50')",26,"('10977_161', '192.168.210.50')"
"('10977_161', '192.168.220.47')",110,"('10977_161', '192.168.220.47')"
"('11300_217', '192.168.220.43')",19,"('11300_217', '192.168.220.43')"
"('11300_217', '192.168.220.51')",25,"('11300_217', '192.168.220.51')"
"('11300_217', '192.168.220.46')",32,"('11300_217', '192.168.220.46')"
"('11300_217', '192.168.220.45')",55,"('11300_217', '192.168.220.45')"
"('11517_175', '192.168.220.51')",27,"('11517_175', '192.168.220.51')"
"('11517_175', '192.168.220.45')",35,"('11517_175', '192.168.220.45')"
"('11517_175', '192.168.220.50')",70,"('11517_175', '192.168.220.50')"
"('11583_220', '192.168.220.47')",32,"('11583_220', '192.168.220.47')"
"('11583_220', '192.168.220.51')",44,"('11583_220', '192.168.220.51')"
"('11583_220', '192.168.220.43')",60,"('11583_220', '192.168.220.43')"
"('10123_77',)",136,"('10123_77',)"
"('10123_77', '192.168.220.42')",136,"('10123_77', '192.168.220.42')"
"('12416_74', '192.168.220.47')",48,"('12416_74', '192.168.220.47')"
"('12416_74', '192.168.220.46')",88,"('12416_74', '192.168.220.46')"
"('12684_20', '192.168.220.50')",23,"('12684_20', '192.168.220.50')"
"('12684_20', '192.168.210.53')",26,"('12684_20', '192.168.210.53')"
"('12684_20', '192.168.210.47')",32,"('12684_20', '192.168.210.47')"
"('12684_20', '192.168.220.51')",55,"('12684_20', '192.168.220.51')"
"('11767_185', '192.168.220.50')",28,"('11767_185', '192.168.220.50')"
"('11767_185', '192.168.210.55')",50,"('11767_185', '192.168.210.55')"
"('11767_185', '192.168.220.51')",58,"('11767_185', '192.168.220.51')"
"('13107_197', '192.168.220.47')",12,"('13107_197', '192.168.220.47')"
"('13107_197', '192.168.220.51')",14,"('13107_197', '192.168.220.51')"
