,IP_B,confidence,IP_A
"('14034_184',)","('192.168.220.51',)",1.0,"('14034_184',)"
"('14043_197',)","('192.168.220.50',)",1.0,"('14043_197',)"
"('14046_248',)","('192.168.220.50',)",1.0,"('14046_248',)"
"('14048_187',)","('192.168.220.50',)",1.0,"('14048_187',)"
"('14056_202',)","('192.168.220.50',)",1.0,"('14056_202',)"
"('14059_135',)","('192.168.220.50',)",1.0,"('14059_135',)"
"('14060_80',)","('192.168.220.50',)",1.0,"('14060_80',)"
"('14061_209',)","('192.168.220.50',)",1.0,"('14061_209',)"
"('14064_191',)","('192.168.220.50',)",1.0,"('14064_191',)"
"('14067_192',)","('192.168.220.50',)",1.0,"('14067_192',)"
"('14068_18',)","('192.168.220.50',)",1.0,"('14068_18',)"
"('14110_107',)","('192.168.210.57',)",1.0,"('14110_107',)"
"('14115_243',)","('192.168.210.54',)",1.0,"('14115_243',)"
"('14162_15',)","('192.168.220.51',)",1.0,"('14162_15',)"
"('14187_113',)","('192.168.220.51',)",1.0,"('14187_113',)"
"('14189_200',)","('192.168.220.51',)",1.0,"('14189_200',)"
"('14208_135',)","('192.168.220.51',)",1.0,"('14208_135',)"
"('14237_50',)","('192.168.220.51',)",1.0,"('14237_50',)"
"('14277_0',)","('192.168.220.51',)",1.0,"('14277_0',)"
"('14281_150',)","('192.168.220.51',)",1.0,"('14281_150',)"
"('14284_33',)","('192.168.220.51',)",1.0,"('14284_33',)"
"('14285_210',)","('192.168.220.51',)",1.0,"('14285_210',)"
"('14314_213',)","('192.168.220.51',)",1.0,"('14314_213',)"
"('14337_185',)","('192.168.220.47',)",1.0,"('14337_185',)"
"('10327_34',)","('192.168.220.47',)",1.0,"('10327_34',)"
"('14355_127',)","('192.168.220.45',)",1.0,"('14355_127',)"
"('14372_202',)","('192.168.210.55',)",1.0,"('14372_202',)"
"('12551_163',)","('192.168.210.55',)",1.0,"('12551_163',)"
"('13328_163',)","('192.168.220.45',)",1.0,"('13328_163',)"
"('14409_0',)","('192.168.220.51',)",1.0,"('14409_0',)"
"('10028_99',)","('192.168.210.47',)",0.7777777777777778,"('10028_99',)"
"('12927_11',)","('192.168.220.47',)",1.0,"('12927_11',)"
"('14476_63',)","('192.168.220.49',)",1.0,"('14476_63',)"
"('14480_237',)","('192.168.220.45',)",1.0,"('14480_237',)"
"('13049_194',)","('192.168.210.56',)",1.0,"('13049_194',)"
"('14484_169',)","('192.168.210.56',)",1.0,"('14484_169',)"
"('14488_153',)","('192.168.210.56',)",1.0,"('14488_153',)"
"('14497_138',)","('192.168.210.49',)",1.0,"('14497_138',)"
"('14518_164',)","('192.168.220.46',)",1.0,"('14518_164',)"
"('14522_220',)","('192.168.210.47',)",1.0,"('14522_220',)"
"('11593_211',)","('192.168.220.47',)",1.0,"('11593_211',)"
"('14542_59',)","('192.168.220.42',)",1.0,"('14542_59',)"
"('11945_155',)","('192.168.210.56',)",1.0,"('11945_155',)"
"('12646_228',)","('192.168.220.51',)",1.0,"('12646_228',)"
"('14566_65',)","('192.168.220.51',)",1.0,"('14566_65',)"
"('14568_221',)","('192.168.220.51',)",1.0,"('14568_221',)"
"('12163_9',)","('192.168.220.51',)",1.0,"('12163_9',)"
"('14569_136',)","('192.168.220.51',)",1.0,"('14569_136',)"
"('14570_16',)","('192.168.220.51',)",1.0,"('14570_16',)"
"('14573_230',)","('192.168.220.42',)",1.0,"('14573_230',)"
"('11472_96',)","('192.168.220.42',)",1.0,"('11472_96',)"
"('14621_190',)","('192.168.210.48',)",1.0,"('14621_190',)"
"('10152_52',)","('192.168.220.46',)",0.631578947368421,"('10152_52',)"
"('10994_190',)","('192.168.210.50',)",0.6842105263157895,"('10994_190',)"
"('10003_186',)","('192.168.210.53',)",1.0,"('10003_186',)"
"('11805_115',)","('192.168.220.51',)",1.0,"('11805_115',)"
"('11887_198',)","('192.168.220.47',)",1.0,"('11887_198',)"
"('11189_164',)","('192.168.220.51',)",1.0,"('11189_164',)"
"('11999_236',)","('192.168.220.47',)",1.0,"('11999_236',)"
"('12180_136',)","('192.168.220.51',)",1.0,"('12180_136',)"
"('12338_150',)","('192.168.220.47',)",1.0,"('12338_150',)"
"('10236_171',)","('192.168.210.55',)",1.0,"('10236_171',)"
"('12575_179',)","('192.168.220.46',)",1.0,"('12575_179',)"
"('12693_80',)","('192.168.220.51',)",1.0,"('12693_80',)"
"('12865_218',)","('192.168.210.47',)",1.0,"('12865_218',)"
"('192.168.210.6',)","('192.168.220.51',)",1.0,"('192.168.210.6',)"
"('192.168.210.3',)","('192.168.220.51',)",1.0,"('192.168.210.3',)"
"('192.168.210.11',)","('192.168.220.51',)",1.0,"('192.168.210.11',)"
"('192.168.210.58',)","('192.168.220.51',)",1.0,"('192.168.210.58',)"
"('192.168.210.67',)","('192.168.220.51',)",1.0,"('192.168.210.67',)"
"('192.168.210.85',)","('192.168.220.51',)",1.0,"('192.168.210.85',)"
"('192.168.210.94',)","('192.168.220.51',)",1.0,"('192.168.210.94',)"
"('192.168.210.103',)","('192.168.220.51',)",1.0,"('192.168.210.103',)"
"('192.168.210.112',)","('192.168.220.51',)",1.0,"('192.168.210.112',)"
"('192.168.210.121',)","('192.168.220.51',)",1.0,"('192.168.210.121',)"
"('192.168.210.130',)","('192.168.220.51',)",1.0,"('192.168.210.130',)"
"('192.168.210.148',)","('192.168.220.51',)",1.0,"('192.168.210.148',)"
"('192.168.210.157',)","('192.168.220.51',)",1.0,"('192.168.210.157',)"
"('192.168.210.166',)","('192.168.220.51',)",1.0,"('192.168.210.166',)"
"('192.168.210.175',)","('192.168.220.51',)",1.0,"('192.168.210.175',)"
"('192.168.210.211',)","('192.168.220.51',)",1.0,"('192.168.210.211',)"
"('192.168.210.229',)","('192.168.220.51',)",1.0,"('192.168.210.229',)"
"('192.168.210.51',)","('192.168.220.51',)",1.0,"('192.168.210.51',)"
"('192.168.210.63',)","('192.168.220.51',)",1.0,"('192.168.210.63',)"
"('192.168.210.83',)","('192.168.220.51',)",1.0,"('192.168.210.83',)"
"('192.168.210.93',)","('192.168.220.51',)",1.0,"('192.168.210.93',)"
"('192.168.210.104',)","('192.168.220.51',)",1.0,"('192.168.210.104',)"
"('192.168.210.114',)","('192.168.220.51',)",1.0,"('192.168.210.114',)"
"('192.168.210.134',)","('192.168.220.51',)",1.0,"('192.168.210.134',)"
"('192.168.210.144',)","('192.168.220.51',)",1.0,"('192.168.210.144',)"
"('192.168.210.154',)","('192.168.220.51',)",1.0,"('192.168.210.154',)"
"('192.168.210.164',)","('192.168.220.51',)",1.0,"('192.168.210.164',)"
"('192.168.210.174',)","('192.168.220.51',)",1.0,"('192.168.210.174',)"
"('192.168.210.195',)","('192.168.220.51',)",1.0,"('192.168.210.195',)"
"('192.168.210.205',)","('192.168.220.51',)",1.0,"('192.168.210.205',)"
"('192.168.210.215',)","('192.168.220.51',)",1.0,"('192.168.210.215',)"
"('192.168.210.225',)","('192.168.220.51',)",1.0,"('192.168.210.225',)"
"('192.168.210.60',)","('192.168.220.51',)",1.0,"('192.168.210.60',)"
"('192.168.210.71',)","('192.168.220.51',)",1.0,"('192.168.210.71',)"
"('192.168.210.82',)","('192.168.220.51',)",1.0,"('192.168.210.82',)"
"('192.168.210.91',)","('192.168.220.51',)",1.0,"('192.168.210.91',)"
"('192.168.210.111',)","('192.168.220.51',)",1.0,"('192.168.210.111',)"
"('192.168.210.120',)","('192.168.220.51',)",1.0,"('192.168.210.120',)"
"('192.168.210.132',)","('192.168.220.51',)",1.0,"('192.168.210.132',)"
"('192.168.210.143',)","('192.168.220.51',)",1.0,"('192.168.210.143',)"
"('192.168.210.167',)","('192.168.220.51',)",1.0,"('192.168.210.167',)"
"('192.168.210.187',)","('192.168.220.51',)",1.0,"('192.168.210.187',)"
"('192.168.210.241',)","('192.168.220.51',)",1.0,"('192.168.210.241',)"
"('192.168.210.7',)","('192.168.220.51',)",1.0,"('192.168.210.7',)"
"('192.168.210.61',)","('192.168.220.51',)",1.0,"('192.168.210.61',)"
"('192.168.210.99',)","('192.168.220.51',)",1.0,"('192.168.210.99',)"
"('192.168.210.113',)","('192.168.220.51',)",1.0,"('192.168.210.113',)"
"('192.168.210.138',)","('192.168.220.51',)",1.0,"('192.168.210.138',)"
"('192.168.210.151',)","('192.168.220.51',)",1.0,"('192.168.210.151',)"
"('192.168.210.203',)","('192.168.220.51',)",1.0,"('192.168.210.203',)"
"('192.168.210.216',)","('192.168.220.51',)",1.0,"('192.168.210.216',)"
"('192.168.210.228',)","('192.168.220.51',)",1.0,"('192.168.210.228',)"
"('192.168.210.8',)","('192.168.220.51',)",1.0,"('192.168.210.8',)"
"('192.168.210.78',)","('192.168.220.51',)",1.0,"('192.168.210.78',)"
"('192.168.210.92',)","('192.168.220.51',)",1.0,"('192.168.210.92',)"
"('192.168.210.105',)","('192.168.220.51',)",1.0,"('192.168.210.105',)"
"('192.168.210.116',)","('192.168.220.51',)",1.0,"('192.168.210.116',)"
"('192.168.210.129',)","('192.168.220.51',)",1.0,"('192.168.210.129',)"
"('192.168.210.145',)","('192.168.220.51',)",1.0,"('192.168.210.145',)"
"('192.168.210.159',)","('192.168.220.51',)",1.0,"('192.168.210.159',)"
"('192.168.210.59',)","('192.168.220.51',)",1.0,"('192.168.210.59',)"
"('192.168.210.77',)","('192.168.220.51',)",1.0,"('192.168.210.77',)"
"('192.168.210.95',)","('192.168.220.51',)",1.0,"('192.168.210.95',)"
"('192.168.210.109',)","('192.168.220.51',)",1.0,"('192.168.210.109',)"
"('192.168.210.127',)","('192.168.220.51',)",1.0,"('192.168.210.127',)"
"('192.168.210.171',)","('192.168.220.51',)",1.0,"('192.168.210.171',)"
"('192.168.210.206',)","('192.168.220.51',)",1.0,"('192.168.210.206',)"
"('192.168.210.218',)","('192.168.220.51',)",1.0,"('192.168.210.218',)"
"('192.168.210.250',)","('192.168.220.51',)",1.0,"('192.168.210.250',)"
"('192.168.210.10',)","('192.168.220.51',)",1.0,"('192.168.210.10',)"
"('192.168.210.66',)","('192.168.220.51',)",1.0,"('192.168.210.66',)"
"('192.168.210.80',)","('192.168.220.51',)",1.0,"('192.168.210.80',)"
"('192.168.210.98',)","('192.168.220.51',)",1.0,"('192.168.210.98',)"
"('192.168.210.118',)","('192.168.220.51',)",1.0,"('192.168.210.118',)"
"('192.168.210.133',)","('192.168.220.51',)",1.0,"('192.168.210.133',)"
"('192.168.210.147',)","('192.168.220.51',)",1.0,"('192.168.210.147',)"
"('192.168.210.165',)","('192.168.220.51',)",1.0,"('192.168.210.165',)"
"('192.168.210.182',)","('192.168.220.51',)",1.0,"('192.168.210.182',)"
"('192.168.210.222',)","('192.168.220.51',)",1.0,"('192.168.210.222',)"
"('192.168.210.5',)","('192.168.220.51',)",1.0,"('192.168.210.5',)"
"('192.168.210.25',)","('192.168.220.51',)",1.0,"('192.168.210.25',)"
"('192.168.210.65',)","('192.168.220.51',)",1.0,"('192.168.210.65',)"
"('192.168.210.86',)","('192.168.220.51',)",1.0,"('192.168.210.86',)"
"('192.168.210.107',)","('192.168.220.51',)",1.0,"('192.168.210.107',)"
"('192.168.210.128',)","('192.168.220.51',)",1.0,"('192.168.210.128',)"
"('192.168.210.146',)","('192.168.220.51',)",1.0,"('192.168.210.146',)"
"('192.168.210.179',)","('192.168.220.51',)",1.0,"('192.168.210.179',)"
"('192.168.210.197',)","('192.168.220.51',)",1.0,"('192.168.210.197',)"
"('192.168.210.253',)","('192.168.220.51',)",1.0,"('192.168.210.253',)"
"('192.168.210.108',)","('192.168.220.51',)",1.0,"('192.168.210.108',)"
"('192.168.210.135',)","('192.168.220.51',)",1.0,"('192.168.210.135',)"
"('192.168.210.158',)","('192.168.220.51',)",1.0,"('192.168.210.158',)"
"('192.168.210.176',)","('192.168.220.51',)",1.0,"('192.168.210.176',)"
"('192.168.210.224',)","('192.168.220.51',)",1.0,"('192.168.210.224',)"
"('192.168.210.70',)","('192.168.220.51',)",1.0,"('192.168.210.70',)"
"('192.168.210.97',)","('192.168.220.51',)",1.0,"('192.168.210.97',)"
"('192.168.210.123',)","('192.168.220.51',)",1.0,"('192.168.210.123',)"
"('192.168.210.152',)","('192.168.220.51',)",1.0,"('192.168.210.152',)"
"('192.168.210.186',)","('192.168.220.51',)",1.0,"('192.168.210.186',)"
"('192.168.210.212',)","('192.168.220.51',)",1.0,"('192.168.210.212',)"
"('192.168.210.233',)","('192.168.220.51',)",1.0,"('192.168.210.233',)"
"('192.168.210.4',)","('192.168.220.51',)",1.0,"('192.168.210.4',)"
"('192.168.210.102',)","('192.168.220.51',)",1.0,"('192.168.210.102',)"
"('192.168.210.168',)","('192.168.220.51',)",1.0,"('192.168.210.168',)"
"('192.168.210.226',)","('192.168.220.51',)",1.0,"('192.168.210.226',)"
"('192.168.210.79',)","('192.168.220.51',)",1.0,"('192.168.210.79',)"
"('192.168.210.115',)","('192.168.220.51',)",1.0,"('192.168.210.115',)"
"('192.168.210.149',)","('192.168.220.51',)",1.0,"('192.168.210.149',)"
"('192.168.210.217',)","('192.168.220.51',)",1.0,"('192.168.210.217',)"
"('192.168.210.90',)","('192.168.220.51',)",1.0,"('192.168.210.90',)"
"('192.168.210.131',)","('192.168.220.51',)",1.0,"('192.168.210.131',)"
"('192.168.210.243',)","('192.168.220.51',)",1.0,"('192.168.210.243',)"
"('192.168.210.75',)","('192.168.220.51',)",1.0,"('192.168.210.75',)"
"('192.168.210.119',)","('192.168.220.51',)",1.0,"('192.168.210.119',)"
"('192.168.210.169',)","('192.168.220.51',)",1.0,"('192.168.210.169',)"
"('192.168.210.208',)","('192.168.220.51',)",1.0,"('192.168.210.208',)"
"('192.168.210.117',)","('192.168.220.51',)",1.0,"('192.168.210.117',)"
"('192.168.210.153',)","('192.168.220.51',)",1.0,"('192.168.210.153',)"
"('192.168.210.122',)","('192.168.220.51',)",1.0,"('192.168.210.122',)"
"('192.168.210.170',)","('192.168.220.51',)",1.0,"('192.168.210.170',)"
"('192.168.210.142',)","('192.168.220.51',)",1.0,"('192.168.210.142',)"
"('192.168.210.62',)","('192.168.220.51',)",1.0,"('192.168.210.62',)"
"('192.168.210.125',)","('192.168.220.51',)",1.0,"('192.168.210.125',)"
"('192.168.210.192',)","('192.168.220.51',)",1.0,"('192.168.210.192',)"
"('192.168.210.110',)","('192.168.220.51',)",1.0,"('192.168.210.110',)"
"('192.168.210.183',)","('192.168.220.51',)",1.0,"('192.168.210.183',)"
"('192.168.210.96',)","('192.168.220.51',)",1.0,"('192.168.210.96',)"
"('192.168.210.173',)","('192.168.220.51',)",1.0,"('192.168.210.173',)"
"('192.168.210.106',)","('192.168.220.51',)",1.0,"('192.168.210.106',)"
"('192.168.210.32',)","('192.168.220.51',)",1.0,"('192.168.210.32',)"
"('192.168.210.137',)","('192.168.220.51',)",1.0,"('192.168.210.137',)"
"('192.168.210.81',)","('192.168.220.51',)",1.0,"('192.168.210.81',)"
"('192.168.210.223',)","('192.168.220.51',)",1.0,"('192.168.210.223',)"
"('192.168.210.9',)","('192.168.220.51',)",1.0,"('192.168.210.9',)"
"('192.168.210.141',)","('192.168.220.51',)",1.0,"('192.168.210.141',)"
"('192.168.210.84',)","('192.168.220.51',)",1.0,"('192.168.210.84',)"
"('192.168.210.101',)","('192.168.220.51',)",1.0,"('192.168.210.101',)"
"('192.168.210.150',)","('192.168.220.51',)",1.0,"('192.168.210.150',)"
"('13027_71',)","('192.168.210.55',)",1.0,"('13027_71',)"
"('13038_170',)","('192.168.220.50',)",1.0,"('13038_170',)"
"('10880_181',)","('192.168.220.47',)",0.6842105263157895,"('10880_181',)"
"('10813_99',)","('192.168.210.54',)",1.0,"('10813_99',)"
"('10745_131',)","('192.168.220.51',)",1.0,"('10745_131',)"
"('13196_116',)","('192.168.220.49',)",0.7368421052631579,"('13196_116',)"
"('13228_10',)","('192.168.210.48',)",1.0,"('13228_10',)"
"('10704_37',)","('192.168.220.51',)",1.0,"('10704_37',)"
"('13462_254',)","('192.168.220.50',)",0.631578947368421,"('13462_254',)"
"('13510_255',)","('192.168.220.47',)",1.0,"('13510_255',)"
"('13928_209',)","('192.168.220.42',)",1.0,"('13928_209',)"
"('14015_200',)","('192.168.220.43',)",0.6842105263157895,"('14015_200',)"
"('14153_158',)","('192.168.220.51',)",1.0,"('14153_158',)"
"('13997_123',)","('192.168.220.51',)",1.0,"('13997_123',)"
"('14382_123',)","('192.168.220.47',)",1.0,"('14382_123',)"
"('14538_206',)","('192.168.220.47',)",1.0,"('14538_206',)"
"('14576_157',)","('192.168.220.51',)",1.0,"('14576_157',)"
"('14602_25',)","('192.168.210.45',)",1.0,"('14602_25',)"
"('10057_123',)","('192.168.210.56',)",1.0,"('10057_123',)"
"('11655_122',)","('192.168.210.56',)",1.0,"('11655_122',)"
"('10244_199',)","('192.168.220.46',)",1.0,"('10244_199',)"
"('10447_200',)","('192.168.220.47',)",1.0,"('10447_200',)"
"('10636_46',)","('192.168.220.47',)",1.0,"('10636_46',)"
"('10002_5',)","('192.168.220.47',)",0.6,"('10002_5',)"
"('10236_51',)","('192.168.220.48',)",0.8,"('10236_51',)"
"('10416_122',)","('192.168.210.55',)",1.0,"('10416_122',)"
"('10469_16',)","('192.168.220.49',)",0.8,"('10469_16',)"
"('10994_136',)","('192.168.220.42',)",1.0,"('10994_136',)"
"('11027_194',)","('192.168.220.51',)",0.6,"('11027_194',)"
"('10067_32',)","('192.168.210.56',)",1.0,"('10067_32',)"
"('10696_27',)","('192.168.220.50',)",1.0,"('10696_27',)"
"('10708_234',)","('192.168.220.50',)",1.0,"('10708_234',)"
"('11189_104',)","('192.168.220.49',)",1.0,"('11189_104',)"
"('10813_88',)","('192.168.220.49',)",1.0,"('10813_88',)"
"('11482_67',)","('192.168.220.50',)",1.0,"('11482_67',)"
"('10243_35',)","('192.168.220.48',)",1.0,"('10243_35',)"
"('11493_209',)","('192.168.220.46',)",0.7,"('11493_209',)"
"('10708_84',)","('192.168.220.46',)",1.0,"('10708_84',)"
"('11472_144',)","('192.168.220.42',)",1.0,"('11472_144',)"
"('11685_91',)","('192.168.220.51',)",1.0,"('11685_91',)"
"('11687_217',)","('192.168.220.51',)",1.0,"('11687_217',)"
"('11685_136',)","('192.168.220.51',)",1.0,"('11685_136',)"
"('11077_17',)","('192.168.220.51',)",1.0,"('11077_17',)"
"('11689_71',)","('192.168.220.51',)",1.0,"('11689_71',)"
"('11690_44',)","('192.168.220.51',)",1.0,"('11690_44',)"
"('11151_136',)","('192.168.220.45',)",1.0,"('11151_136',)"
"('10088_118',)","('192.168.220.51',)",1.0,"('10088_118',)"
"('11766_255',)","('192.168.220.51',)",0.6,"('11766_255',)"
"('10694_122',)","('192.168.210.55',)",0.6,"('10694_122',)"
"('10463_67',)","('192.168.220.49',)",1.0,"('10463_67',)"
"('11889_2',)","('192.168.220.51',)",0.8,"('11889_2',)"
"('11956_214',)","('192.168.220.51',)",0.8,"('11956_214',)"
"('10299_105',)","('192.168.210.52',)",1.0,"('10299_105',)"
"('11275_213',)","('192.168.220.47',)",1.0,"('11275_213',)"
"('11302_74',)","('192.168.220.42',)",0.6,"('11302_74',)"
"('12119_101',)","('192.168.220.42',)",1.0,"('12119_101',)"
"('10116_60',)","('192.168.220.50',)",0.6,"('10116_60',)"
"('12147_7',)","('192.168.210.49',)",0.8,"('12147_7',)"
"('10632_152',)","('192.168.210.50',)",1.0,"('10632_152',)"
"('12245_43',)","('192.168.220.42',)",1.0,"('12245_43',)"
"('10813_120',)","('192.168.220.51',)",1.0,"('10813_120',)"
"('12318_227',)","('192.168.220.47',)",1.0,"('12318_227',)"
"('10696_163',)","('192.168.210.54',)",1.0,"('10696_163',)"
"('12520_77',)","('192.168.210.55',)",1.0,"('12520_77',)"
"('12613_84',)","('192.168.220.48',)",0.6,"('12613_84',)"
"('11867_199',)","('192.168.220.48',)",0.8,"('11867_199',)"
"('12654_98',)","('192.168.220.51',)",1.0,"('12654_98',)"
"('11851_28',)","('192.168.220.45',)",0.8,"('11851_28',)"
"('11435_14',)","('192.168.210.55',)",1.0,"('11435_14',)"
"('11945_53',)","('192.168.220.51',)",0.7,"('11945_53',)"
"('12866_218',)","('192.168.210.47',)",1.0,"('12866_218',)"
"('12873_199',)","('192.168.210.47',)",1.0,"('12873_199',)"
"('10138_13',)","('192.168.210.55',)",1.0,"('10138_13',)"
"('11859_128',)","('192.168.220.47',)",1.0,"('11859_128',)"
"('12950_176',)","('192.168.220.51',)",0.6,"('12950_176',)"
"('192.168.210.221',)","('192.168.220.51',)",1.0,"('192.168.210.221',)"
"('10343_210',)","('192.168.210.47',)",1.0,"('10343_210',)"
"('10391_98',)","('192.168.210.56',)",0.7,"('10391_98',)"
"('10696_136',)","('192.168.210.53',)",0.6,"('10696_136',)"
"('11831_235',)","('192.168.220.51',)",1.0,"('11831_235',)"
"('12703_3',)","('192.168.210.45',)",1.0,"('12703_3',)"
"('12686_221',)","('192.168.210.54',)",1.0,"('12686_221',)"
"('13243_91',)","('192.168.220.48',)",1.0,"('13243_91',)"
"('10717_200',)","('192.168.220.51',)",1.0,"('10717_200',)"
"('10373_123',)","('192.168.220.50',)",1.0,"('10373_123',)"
"('11472_235',)","('192.168.220.47',)",1.0,"('11472_235',)"
"('13294_53',)","('192.168.210.46',)",1.0,"('13294_53',)"
"('12010_120',)","('192.168.210.52',)",0.6,"('12010_120',)"
"('11079_120',)","('192.168.220.47',)",1.0,"('11079_120',)"
"('10696_192',)","('192.168.220.51',)",0.8,"('10696_192',)"
"('13347_155',)","('192.168.220.51',)",1.0,"('13347_155',)"
"('13349_250',)","('192.168.220.51',)",1.0,"('13349_250',)"
"('11729_12',)","('192.168.220.47',)",1.0,"('11729_12',)"
"('10372_8',)","('192.168.220.51',)",0.8,"('10372_8',)"
"('11394_18',)","('192.168.220.51',)",1.0,"('11394_18',)"
"('13377_195',)","('192.168.220.51',)",1.0,"('13377_195',)"
"('10236_211',)","('192.168.220.51',)",0.8,"('10236_211',)"
"('13411_196',)","('192.168.220.47',)",1.0,"('13411_196',)"
"('12975_115',)","('192.168.220.47',)",1.0,"('12975_115',)"
"('13427_35',)","('192.168.220.47',)",1.0,"('13427_35',)"
"('13481_166',)","('192.168.220.50',)",1.0,"('13481_166',)"
"('11831_242',)","('192.168.220.51',)",1.0,"('11831_242',)"
"('10427_29',)","('192.168.220.50',)",1.0,"('10427_29',)"
"('13553_118',)","('192.168.220.51',)",0.7,"('13553_118',)"
"('13574_230',)","('192.168.220.47',)",1.0,"('13574_230',)"
"('11061_64',)","('192.168.220.51',)",1.0,"('11061_64',)"
"('12975_251',)","('192.168.220.47',)",1.0,"('12975_251',)"
"('10745_155',)","('192.168.220.50',)",1.0,"('10745_155',)"
"('10694_2',)","('192.168.210.57',)",0.6,"('10694_2',)"
"('11831_138',)","('192.168.220.43',)",1.0,"('11831_138',)"
"('13651_79',)","('192.168.220.47',)",0.9,"('13651_79',)"
"('13673_248',)","('192.168.210.48',)",0.6,"('13673_248',)"
"('10392_92',)","('192.168.220.42',)",1.0,"('10392_92',)"
"('13729_35',)","('192.168.210.54',)",1.0,"('13729_35',)"
"('12059_159',)","('192.168.210.54',)",1.0,"('12059_159',)"
"('10372_187',)","('192.168.220.42',)",1.0,"('10372_187',)"
"('13791_2',)","('192.168.220.42',)",1.0,"('13791_2',)"
"('13841_91',)","('192.168.210.55',)",1.0,"('13841_91',)"
"('13871_136',)","('192.168.220.42',)",1.0,"('13871_136',)"
"('13897_194',)","('192.168.210.47',)",1.0,"('13897_194',)"
"('13907_57',)","('192.168.220.45',)",1.0,"('13907_57',)"
"('11394_140',)","('192.168.220.49',)",1.0,"('11394_140',)"
"('13920_48',)","('192.168.220.47',)",1.0,"('13920_48',)"
"('10696_224',)","('192.168.220.51',)",0.8,"('10696_224',)"
"('11689_74',)","('192.168.210.55',)",1.0,"('11689_74',)"
"('11441_102',)","('192.168.220.49',)",1.0,"('11441_102',)"
"('13950_51',)","('192.168.210.47',)",1.0,"('13950_51',)"
"('12245_19',)","('192.168.220.45',)",1.0,"('12245_19',)"
"('14013_57',)","('192.168.220.51',)",1.0,"('14013_57',)"
"('12975_171',)","('192.168.210.54',)",0.8,"('12975_171',)"
"('13731_213',)","('192.168.220.51',)",1.0,"('13731_213',)"
"('14053_22',)","('192.168.220.50',)",1.0,"('14053_22',)"
"('12972_176',)","('192.168.210.52',)",1.0,"('12972_176',)"
"('14070_189',)","('192.168.220.50',)",1.0,"('14070_189',)"
"('12381_17',)","('192.168.210.57',)",1.0,"('12381_17',)"
"('10392_124',)","('192.168.220.49',)",1.0,"('10392_124',)"
"('12730_35',)","('192.168.220.51',)",1.0,"('12730_35',)"
"('14127_202',)","('192.168.220.51',)",1.0,"('14127_202',)"
"('12167_106',)","('192.168.220.51',)",1.0,"('12167_106',)"
"('14179_22',)","('192.168.220.51',)",1.0,"('14179_22',)"
"('14205_100',)","('192.168.220.51',)",1.0,"('14205_100',)"
"('14238_63',)","('192.168.220.51',)",1.0,"('14238_63',)"
"('11649_179',)","('192.168.220.43',)",1.0,"('11649_179',)"
"('10234_30',)","('192.168.220.51',)",1.0,"('10234_30',)"
"('11192_136',)","('192.168.210.47',)",1.0,"('11192_136',)"
"('14336_128',)","('192.168.220.44',)",1.0,"('14336_128',)"
"('14348_3',)","('192.168.210.54',)",0.8,"('14348_3',)"
"('11323_131',)","('192.168.220.51',)",1.0,"('11323_131',)"
"('12972_67',)","('192.168.220.43',)",1.0,"('12972_67',)"
"('12187_163',)","('192.168.220.51',)",1.0,"('12187_163',)"
"('14395_117',)","('192.168.220.46',)",0.6,"('14395_117',)"
"('14402_50',)","('192.168.220.48',)",1.0,"('14402_50',)"
"('13415_44',)","('192.168.220.51',)",1.0,"('13415_44',)"
"('14414_113',)","('192.168.220.51',)",1.0,"('14414_113',)"
"('14425_243',)","('192.168.220.42',)",1.0,"('14425_243',)"
"('10946_144',)","('192.168.220.51',)",0.6,"('10946_144',)"
"('10708_250',)","('192.168.220.42',)",1.0,"('10708_250',)"
"('11809_14',)","('192.168.210.56',)",1.0,"('11809_14',)"
"('14487_142',)","('192.168.220.51',)",1.0,"('14487_142',)"
"('10416_10',)","('192.168.220.49',)",1.0,"('10416_10',)"
"('11667_106',)","('192.168.220.49',)",1.0,"('11667_106',)"
"('10759_3',)","('192.168.220.51',)",1.0,"('10759_3',)"
"('10560_133',)","('192.168.210.56',)",1.0,"('10560_133',)"
"('14551_222',)","('192.168.210.56',)",1.0,"('14551_222',)"
"('11340_224',)","('192.168.220.42',)",1.0,"('11340_224',)"
"('10310_76',)","('192.168.220.42',)",1.0,"('10310_76',)"
"('11655_116',)","('192.168.210.56',)",1.0,"('11655_116',)"
"('14616_37',)","('192.168.210.48',)",1.0,"('14616_37',)"
"('10085_148',)","('192.168.210.48',)",1.0,"('10085_148',)"
"('10987_16',)","('192.168.220.42',)",0.5714285714285714,"('10987_16',)"
"('10088_57',)","('192.168.210.53',)",1.0,"('10088_57',)"
"('11647_35',)","('192.168.220.51',)",0.8571428571428571,"('11647_35',)"
"('11720_99',)","('192.168.220.49',)",1.0,"('11720_99',)"
"('12144_253',)","('192.168.220.51',)",0.7142857142857143,"('12144_253',)"
"('10372_35',)","('192.168.220.51',)",1.0,"('10372_35',)"
"('11593_56',)","('192.168.220.47',)",1.0,"('11593_56',)"
"('10987_8',)","('192.168.210.45',)",1.0,"('10987_8',)"
"('10813_136',)","('192.168.220.51',)",0.5714285714285714,"('10813_136',)"
"('11593_8',)","('192.168.220.48',)",1.0,"('11593_8',)"
"('10162_157',)","('192.168.220.51',)",1.0,"('10162_157',)"
"('11061_243',)","('192.168.220.47',)",0.5714285714285714,"('11061_243',)"
"('12996_227',)","('192.168.210.54',)",1.0,"('12996_227',)"
